Counrty,"GDP(IMF estimate,million USD)"
World,"126,295,331"
United States,"32,383,920"
China,"20,851,593"
Germany,"5,452,858"
Japan,"4,379,253"
United Kingdom,"4,264,794"
India,"4,153,191"
France,"3,596,094"
Italy,"2,738,164"
Russia,"2,656,452"
Brazil,"2,635,912"
Canada,"2,507,340"
Australia,"2,123,963"
Mexico,"2,120,855"
Spain,"2,091,222"
South Korea,"1,931,008"
Turkey,"1,640,223"
Indonesia,"1,539,872"
Netherlands,"1,449,704"
Saudi Arabia,"1,388,676"
Switzerland,"1,146,911"
Poland,"1,134,248"
Taiwan,"976,719"
Ireland,"779,381"
Belgium,"776,730"
Sweden,"760,481"
Israel,"719,848"
Argentina,"688,378"
Singapore,"659,572"
Austria,"623,719"
United Arab Emirates,"621,546"
Norway,"599,406"
Thailand,"579,996"
Colombia,"539,530"
Vietnam,"527,266"
Malaysia,"516,428"
Philippines,"512,222"
Bangladesh,"510,705"
Denmark,"503,772"
Romania,"480,834"
South Africa,"479,964"
Pakistan,"452,192"
Hong Kong,"450,138"
Czech Republic,"432,597"
Egypt,"429,645"
Chile,"407,850"
Peru,"380,900"
Portugal,"380,637"
Nigeria,"377,365"
Kazakhstan,"360,456"
Finland,"337,669"
Algeria,"317,173"
Greece,"307,554"
Iran,"300,293"
New Zealand,"278,636"
Hungary,"271,122"
Iraq,"264,784"
Cuba,—N/a
Ukraine,"225,337"
Qatar,"217,416"
Morocco,"194,333"
Uzbekistan,"181,502"
Kuwait,"172,920"
Slovakia,"168,897"
Angola,"152,354"
Bulgaria,"148,121"
Kenya,"147,265"
Ecuador,"138,194"
Dominican Republic,"136,148"
Puerto Rico,"129,012"
Guatemala,"128,886"
DR Congo,"123,406"
Ethiopia,"121,527"
Ghana,"118,293"
Oman,"117,176"
Croatia,"116,574"
Ivory Coast,"112,115"
Serbia,"112,025"
Venezuela,"111,303"
Luxembourg,"110,417"
Costa Rica,"109,931"
Lithuania,"105,907"
Belarus,"102,042"
Sri Lanka,"98,964 (2024)"
Uruguay,"96,092"
Panama,"95,024"
Tanzania,"94,889"
Slovenia,"86,732"
Myanmar,"83,832"
Turkmenistan,"83,065"
Bolivia,"80,743"
Azerbaijan,"78,372"
Uganda,"73,370"
Cameroon,"65,135"
Jordan,"64,909"
Tunisia,"60,745"
Paraguay,"60,542"
Zimbabwe,"56,713"
Macau,"54,228"
Latvia,"53,686"
Libya,"52,453"
Cambodia,"52,379"
Estonia,"51,634"
Bahrain,"48,849"
Nepal,"45,844"
Cyprus,"45,171"
Sudan,"44,688"
Iceland,"43,800"
Georgia,"42,716"
Honduras,"41,505"
Zambia,"41,243"
Senegal,"40,469"
El Salvador,"39,838"
Haiti,"39,180"
Bosnia and Herzegovina,"36,771"
Lebanon,"34,497 (2025)"
Papua New Guinea,"34,403"
Guyana,"33,961"
Mali,"33,847"
Albania,"33,333"
Burkina Faso,"32,513"
Armenia,"31,873"
Malta,"30,712"
Guinea,"29,930"
Mongolia,"28,450"
Benin,"27,786"
Trinidad and Tobago,"26,836"
Chad,"25,628"
Niger,"24,813"
Nicaragua,"24,227"
Kyrgyzstan,"23,606"
Gabon,"23,363"
Mozambique,"23,275"
Jamaica,"23,028"
Botswana,"21,937"
Moldova,"21,889"
North Macedonia,"21,605"
Madagascar,"21,185"
Tajikistan,"20,418"
Afghanistan,"19,662 (2025)"
Laos,"18,959"
Malawi,"18,152"
Rwanda,"17,336"
Namibia,"17,314"
Syria,—N/a
North Korea,—N/a
Mauritius,"17,119"
Bahamas,"17,042"
Congo,"17,028"
Brunei,"16,863"
Palestine,"16,017 (2024)"
Mauritania,"14,352"
Somalia,"14,174"
Kosovo,"14,053"
Equatorial Guinea,"13,722"
Togo,"13,437"
Channel Islands,—N/a
Monaco,—N/a
Montenegro,"10,227"
Liechtenstein,"9,442"
Bermuda,—N/a
New Caledonia,—N/a
Barbados,"8,483"
Sierra Leone,"8,270"
Burundi,"8,137"
Maldives,"8,130"
Cayman Islands,—N/a
Yemen,"7,435"
Isle of Man,—N/a
Guam,—N/a
Fiji,"6,352"
French Polynesia,—N/a
South Sudan,"6,069"
Suriname,"5,908"
Eswatini,"5,792"
Liberia,"5,642"
Andorra,"4,879"
Djibouti,"4,725"
U.S. Virgin Islands,—N/a
Aruba,"4,671"
Faroe Islands,—N/a
Bhutan,"3,856"
Curaçao,—N/a
Central African Republic,"3,492"
Greenland,—N/a
Belize,"3,450"
Cape Verde,"3,448"
Guinea-Bissau,"2,985"
Lesotho,"2,972"
Gambia,"2,792"
Saint Lucia,"2,765"
Zanzibar,—N/a
San Marino,"2,417"
Antigua and Barbuda,"2,385"
Seychelles,"2,251"
Timor-Leste,"2,170"
Eritrea,—N/a
Solomon Islands,"1,836"
British Virgin Islands,—N/a
Comoros,"1,814"
Sint Maarten,—N/a
Turks and Caicos Islands,—N/a
Grenada,"1,483"
Vanuatu,"1,396"
Samoa,"1,376"
Saint Vincent and the Grenadines,"1,236"
São Tomé and Príncipe,"1,161"
Saint Kitts and Nevis,"1,143"
Northern Mariana Islands,—N/a
American Samoa,—N/a
Dominica,791
Tonga,716
Saint Martin,—N/a
Federated States of Micronesia,521
Anguilla,—N/a
Cook Islands,—N/a
Kiribati,401
Palau,377
Marshall Islands,342
Nauru,196
Montserrat,—N/a
Tuvalu,65
